ARTICULO;DESCRIPCION;PROVEEDOR;NOMBRE;STOCK;IMPORTE
0A0;COLCHON MUELLES MENORCA 80;0A0;COLCHONERIA MARCO, S. L.;6;94
0A0;COLCHON MUELLES MENORCA 80;0A0;ENTREPOT NAVAL, S. L.;3;85
0A2;HILO NYLON AZUL 5.00mm/100mt;0A2;PAMPILLON CORDELERIAS, S.L.;2;9,5
0A5;CHAMPI¥ON ENTERO 12/370gr;0A5;DIMERCA-DISTRIB. MERA Y CARMES S.L.;10;10,92
0A6;COLCHON ESPUMA ACOLCHADO 80;0A6;COLCHONERIA MARCO, S. L.;1;67
0A7;PARES GUANTES HORNO;0A7;FERNANDO ESCOLA, C.B.;3;6,9
0A8;ZUMO MELOCOTON 24X200ML.;0A8;MERCASH SAR, S. L.;2;5,36
00A;CRC CONTACT CLEANER 200CC;00A;ORVILUX ELECTRICIDAD, S.L.;6;13,88
0AA;ZUMO MULTIFRUTAS 30X200ML.;0AA;MERCASH SAR, S. L.;1;7,2
0AA;ZUMO MULTIFRUTAS 30X200ML.;0AA;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;3;6,45
0AB;LAVAVAJILLAS ABRIL SOMAT 10/LT;0AB;PONTEVICUS, S. L.;2;52
0AF;SALSA PICANTE 1/200ml;0AF;DISTRIBUCIONES LORRI C.B.;46;1,3
0AG;TUBO LONA DIAMETRO 150MM(10MT);0AG;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;1;64,48
0AI;VALVULA MARIPOSA TIPO LUG DN80;0AI;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;2;80,56
0AJ;ALAMBRE 1.25x19H Inx;0AJ;PASAXE Suministros Navales, S. L.;2;110
0AL;CIERRE MECANICO H40;0AL;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;2;28,42
0AN;BOYA A-2 LISA ROJA;0AN;A POUTADA, S. L.;356;20,47
0AN;BOYA A-2 LISA ROJA;0AN;EURORED VIGO, S. L.;2;23,17
0AO;FREGONA VILEDA TIRAS RECAMBIO;0AO;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;4;1,15
0AP;BOTAS AGUA BLANCA SEGURIDAD 43;0AP;MERPIVI COMERCIAL  S.L.;1;30,5
0AQ;DETERGENTE LAVADORA T/5.850GRS;0AQ;MERCASH SAR, S. L.;17;6,58
0AR;COLA CAO 390GR.;0AR;MERCASH SAR, S. L.;1;2,25
0AR;COLA CAO 390GR.;0AR;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;10;4,35
0AT;CONO HELADO 3 CHOCOL C/16UND.;0AT;BECOGALIA AFINES S.L.(LOPEZ FREIRE);3;17,39
0AU;CONO HELADO LIMON C/16UND.;0AU;BECOGALIA AFINES S.L.(LOPEZ FREIRE);3;17,39
0AV;MEJORANTE Paquete 500grs;0AV;ENTREPOT NAVAL, S. L.;6;2,41
0AW;AMBIENTADOR AIRWICK ELECTRICO;0AW;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;1;2,69
0AX;RECAMBIO AIRWICK ELECTRICO;0AX;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;5;2,35
0AY;SOBAOS MARTINEZ MANTEQ. C/30ud;0AY;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;5;2,25
0AZ;GALLETA CUETARA SURTIDO 420GR;0AZ;CASH GALICIA, S. L.;34;2,72
0AZ;GALLETA CUETARA SURTIDO 420GR;0AZ;MERCASH SAR, S. L.;97;2,89
0AZ;GALLETA CUETARA SURTIDO 420GR;0AZ;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;388;2,7
0AZ;GALLETA CUETARA SURTIDO 420GR;0AZ;PONTEVICUS, S. L.;196;2,62
0B0;CAFETERA EXPRESSO DELONGHI;0B0;ORVILUX ELECTRICIDAD, S.L.;1;79
0B0;CAFETERA EXPRESSO DELONGHI;0B0;CARREFOUR VIGO;1;288,43
0B1;HILO NYLON VERDE 4mm/100mts;0B1;PAMPILLON CORDELERIAS, S.L.;2;9,5
0B2;SOBAOS MARTINEZ MANTEQ. C/16UD;0B2;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;7;1,25
0B6;VINO BIERZO FLAVIUM SELEC.6/75;0B6;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;8;11,94
0B7;JUGO DE KIWI RIVVES 1/LT;0B7;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;12;3,25
0b8;CONJUNTO SE¥ALES IMO;0b8;VIGO-COAST, S.L.;1;37,21
0B9;LIMPIADOR VIM CLOREX 1/750gr;0B9;MERCASH SAR, S. L.;24;0,79
0B9;LIMPIADOR VIM CLOREX 1/750gr;0B9;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;12;0,82
0BA;ANIS DULCE MONO 1/70cl;0BA;MERCASH SAR, S. L.;2;5,49
0BA;ANIS DULCE MONO 1/70cl;0BA;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;1;6,09
0BB;ALBARI¥O MARTIN CODAX 1/75cl;0BB;CASH GALICIA, S. L.;6;6,59
0BB;ALBARI¥O MARTIN CODAX 1/75cl;0BB;MERCASH SAR, S. L.;12;6,89
0BB;ALBARI¥O MARTIN CODAX 1/75cl;0BB;PONTEVICUS, S. L.;6;8,6
0BC;VINO MARQUES VIZHOJA 1/750ml;0BC;MERCASH SAR, S. L.;24;3,08
0BD;ACEITE GIRASOL GARRAFA 25LT;0BD;MERCASH SAR, S. L.;30;28,34
0BD;ACEITE GIRASOL GARRAFA 25LT;0BD;PONTEVICUS, S. L.;10;34,45
0BD;ACEITE GIRASOL GARRAFA 25LT;0BD;ACEITES ABRIL, S.L.;23;21,75
0BE;PASTA LAZO VEGETAL 1/500grs;0BE;CASH GALICIA, S. L.;18;1,05
0BE;PASTA LAZO VEGETAL 1/500grs;0BE;PONTEVICUS, S. L.;24;0,59
0BF;GALLETAS SURTIDAS GULLON 1/564;0BF;PONTEVICUS, S. L.;30;2,2
0BG;FUNDA COLCHON ROCA 90;0BG;FERNANDO ESCOLA, C.B.;22;4,65
0BH;ZUMO PI¥A 10/LITRO;0BH;PONTEVICUS, S. L.;3;5,3
0BI;AMBIENTADOR RECAMBIO 1/250ML;0BI;PONTEVICUS, S. L.;48;1,51
0BJ;JUEGO ESPATULAS GLASEADO;0BJ;HIPER ASIA-GUO ZOHONG ZHENG S.L.;1;5
0BK;PANERA PLASTICA REDONDA;0BK;FERRETERIA PLAZA, S. L.;4;2,54
0BL;PANERA PLASTICA OVALADA;0BL;FERRETERIA PLAZA, S. L.;6;2,47
0BN;MOLINILLO PIMIENTA 17CM METALT;0BN;FERRETERIA PLAZA, S. L.;1;5,42
0BO;CORTAPIZZA INOX;0BO;FERRETERIA PLAZA, S. L.;1;2,26
0BO;CORTAPIZZA INOX;0BO;HIPER ASIA-GUO ZOHONG ZHENG S.L.;2;1,45
0BP;PINZA HIELO INOX C/MUELLE;0BP;FERRETERIA PLAZA, S. L.;1;4,59
0BP;PINZA HIELO INOX C/MUELLE;0BP;MAFERGA, S.A.;1;1,86
0BQ;COBERTURA CHOCO. BLANCO 2.5KG;0BQ;MERCASH SAR, S. L.;14;20,52
0BS;PAELLERA HONDA REFOR.;0BS;FERRETERIA PLAZA, S. L.;3;21,54
0BS;PAELLERA HONDA REFOR.;0BS;MAFERGA, S.A.;2;4,54
0BT;SALSA DE OSTRAS 1/255ML;0BT;MERCADONA S.A.;48;1,64
0BU;HUEVO POLVO KG;0BU;LAGO, AVES, HUEVOS Y CAZA, S. A.;49;6,4
0BU;HUEVO POLVO KG;0BU;MERCASH SAR, S. L.;1;9,53
0BU;HUEVO POLVO KG;0BU;PONTEVICUS, S. L.;1;13,15
0BV;CINTA REFLECTANTE 50MM.X45.7M;0BV;VIGO-COAST, S.L.;1;65,45
0BW;PLOMO BARRIL PARA PESCA 150GR;0BW;EFECTOS NAVALES LITA;60;3,72
0BY;VASO PINTA C/6U;0BY;FERRETERIA PLAZA, S. L.;3;5,61
0BZ;ENJARETADO PINO 140x4x4CM;0BZ;CARPINTERIA NAVAL NIETO S.L.;50;4,2
0C0;RACORES PVC SOPORTE INOX;0C0;ENAGAL - ELECTRO NAVAL GALICIA, SL;10;5
0C1;PUNTAS GALAVANIZ. 14x35KG;0C1;FERNANDEZ Y COMESAÑA, S. L.;3;5,21
0C2;HUEVOS GRANEL C/15U;0C2;LAGO, AVES, HUEVOS Y CAZA, S. A.;12;13,2
0C3;BONITO A/OLIVA CRISTAL 12/220G;0C3;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;12;3,75
0C3;BONITO A/OLIVA CRISTAL 12/220G;0C3;PERFECTO FREIJEIRO VILLAVERDE,SL;3;44,52
0C6;PANAS DE PINO;0C6;CARPINTERIA NAVAL NIETO S.L.;14;29,52
0C9;LECHERA ACERO INOX 1.2LT;0C9;HIPER ASIA-GUO ZOHONG ZHENG S.L.;3;5,75
0CA;CAFE BONKA DESCAFEINADO 250GR;0CA;MERCASH SAR, S. L.;24;1,94
0CB;FIGURITA MAZAPAN SUPREMA 12PAQ;0CB;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;13;15,6
0CD;PELOTAS M100/BOYAS ESP ROJAS;0CD;EUROBOIA, LTDA.;170;3,18
0CE;PELOTAS M100/BOYAS ESP AMARILL;0CE;EUROBOIA, LTDA.;170;2,4
0CE;PELOTAS M100/BOYAS ESP AMARILL;0CE;ENTREPOT NAVAL, S. L.;3;2,4
0CF;ALMENDRA FILETEADA 12/125gr;0CF;PONTEVICUS, S. L.;1;21
0CG;SALCHICHA FRANK. POLLO 12/560G;0CG;MERCASH SAR, S. L.;24;1,54
0CJ;CUERDA NYLON CORRED. 12MM/20mt;0CJ;PAMPILLON CORDELERIAS, S.L.;2;5,25
0CK;HOJALDRES;0CK;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;56;2,69
0CK;HOJALDRES;0CK;PONTEVICUS, S. L.;10;2,19
0CM;FARDO DE RED P.E. B/3 (15X5MT);0CM;PAMPILLON CORDELERIAS, S.L.;1;125
0CN;RON STA.TERESA G.RESEVA 1/700C;0CN;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;1;9,99
0CO;CUERDA DYNEMA 14mm (Tramo);0CO;PAMPILLON CORDELERIAS, S.L.;1;560
0CQ;MOSQUETON INOX CERCO C/VIROLA;0CQ;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;4;45
0CR;SERVILLETERO;0CR;TEN HOME PLUS CORUXO S.L.;4;2,07
0CS;CHAQUETILLA FAENA;0CS;FERNANDO ESCOLA, C.B.;4;7,83
0CT;ALFOMBRA CAMAROTE;0CT;HIPER ASIA-GUO ZOHONG ZHENG S.L.;9;7,4
0CU;DETERGENTE CLORADO 25LT;0CU;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;1;79,06
0CV;CHALECO LALIZAS NEO 50N/SALVAV;0CV;VIGO-COAST, S.L.;6;45,3
0CW;GALLETA MARIA DORADA 10x4x200g;0CW;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;1;9,9
0CW;GALLETA MARIA DORADA 10x4x200g;0CW;PONTEVICUS, S. L.;1;8
0CX;TUBO GANCHO 2MT C/GIRAT S/PUNT;0CX;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;2;25,67
0D0;CREMA SUAVIZANTE TRESEMME;0D0;SUPERMERCADOS FROIZ;6;3,56
0D1;LENTEJA PARDINA ASTURIANA 500G;0D1;PONTEVICUS, S. L.;5;1,8
0D2;PASTA FIDEO GALLO N§4 500GR;0D2;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;2;0,64
0D2;PASTA FIDEO GALLO N§4 500GR;0D2;PONTEVICUS, S. L.;18;1,15
0D3;FREGASUELOS BOTELLA 1.5LTS;0D3;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;10;0,6
0D4;DISOLVENTE BOTE;0D4;FERRETERIA PLAZA, S. L.;2;3,44
0D5;PISTACHOS TOSTADOS  300GR;0D5;PONTEVICUS, S. L.;27;4,03
0D8;FAIRY GARRAFA 5LT;0D8;MERCASH SAR, S. L.;6;6,5
0D8;FAIRY GARRAFA 5LT;0D8;PONTEVICUS, S. L.;5;6,56
0D9;TUBO NURAL 28;0D9;FERRETERIA PLAZA, S. L.;1;13,65
0D9;TUBO NURAL 28;0D9;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;2;13,56
0DA;HERVIDOR AGUA 1.7LT;0DA;FERRETERIA PLAZA, S. L.;1;37,19
0DA;HERVIDOR AGUA 1.7LT;0DA;ORVILUX ELECTRICIDAD, S.L.;1;23,4
0DF;ARROCERA VAPOR 10LT.;0DF;FERRETERIA PLAZA, S. L.;1;59,26
0DI;PASTA LASA¥A AL HUEVO 12/250gr;0DI;PONTEVICUS, S. L.;2;12,84
0DJ;CUERDA P.E. PLOMADA 8mm/100mt;0DJ;PAMPILLON CORDELERIAS, S.L.;36;4,8
0DL;CAYENA MOLIDA B.I.;0DL;DISTRIBUCIONES LORRI C.B.;8;6,43
0DM;BOBINA FILM MANUAL TRANSP MINI;0DM;DISBAL-JOSE C.BALLESTEROS CABALEIRO;140;1,75
0DO;PANTALLA CASCO TINTADA;0DO;ANCA S.L.;6;13,68
0DR;CUERDA NYLON CORRED. 20MM;0DR;PAMPILLON CORDELERIAS, S.L.;8;5,25
0DS;TOMATE CONCENTRADO 170GR;0DS;MERCASH SAR, S. L.;24;0,71
0DS;TOMATE CONCENTRADO 170GR;0DS;PONTEVICUS, S. L.;96;1,52
0DU;PIMIENTA VERDE SALSERO;0DU;MERCADONA S.A.;12;1,68
0DV;FIDEO NOODLE ARROZ 250GR;0DV;LA TIENDA LATINA-JOSE A.QUIROZ GIRB;35;2,6
0DW;LIMPIADOR AJAX PINO 1/LITRO;0DW;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;3;1,25
0DY;PIEZA FICHERO COMPLETA;0DY;EESL- ELECTRONICA EUTIMIO,SL;8;8,85
0DZ;ZARAGALLADA AL NATURAL 24/500G;0DZ;A ROSALEIRA-JOSE SANCHEZ GARCIA,S.L;3;33,84
0E0;NESCAF DOLCE G. CHOCOCINO 16U;0E0;MERCASH SAR, S. L.;3;3,25
0E0;NESCAF DOLCE G. CHOCOCINO 16U;0E0;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;9;3,49
0E1;NESCAF DOLCE G. NESQUIK 16U;0E1;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;10;3,49
0E2;PALILLOS REDONDOS C/130U;0E2;MERCASH SAR, S. L.;17;0,35
0E3;GRAPA COBRE 5.00x18mm C/1000;0E3;ENA-EFCT.NAVALES del ATLANTICO SL;5;171
0E5;GRAPA COBRE 2.8X16 C/1000;0E5;PASAXE Suministros Navales, S. L.;8;64
0E6;POWERADE AZUL 12/500ML;0E6;MERCASH SAR, S. L.;6;10,66
0E6;POWERADE AZUL 12/500ML;0E6;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;3;11,16
0E6;POWERADE AZUL 12/500ML;0E6;CARREFOUR VIGO;1;6,99
0E7;ZUMO PERA LT;0E7;CARREFOUR VIGO;9;0,73
0E8;DEFENSA HINCHABLE NDE-2;0E8;EFECTOS NAVALES FERNANDEZ VILA, SL.;2;10,22
0E9;DEFENSA HINCHABLE PROA NDP-1;0E9;EFECTOS NAVALES FERNANDEZ VILA, SL.;1;16,1
00E;LUBRICANTE WD-40 400ML;00E;FERRETERIA PLAZA, S. L.;3;6,82
0EB;ESPARRAGOS BLANCOS KG;0EB;MERCASH SAR, S. L.;1;3,45
0EC;LLAVE FIJA DOS BOCAS 6-7MM;0EC;SUNOBA-SUMNISTROS INDUSTRIALES S.L.;1;3,2
0ED;CANDADO LATON A/N TIFON 40;0ED;FERRETERIA PLAZA, S. L.;1;4,46
0EE;CANDADO LATON A/N TIFON 50;0EE;FERRETERIA PLAZA, S. L.;3;7,9
0EF;HILO NYLON BLANCO 2.50mm/100mt;0EF;PAMPILLON CORDELERIAS, S.L.;1;7,1
0EJ;BOYA BALA GRANDE;0EJ;PASAXE Suministros Navales, S. L.;19;15
0EK;COCO RALLADO 1/100GR;0EK;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;10;0,95
0EL;LECHE DE COCO 1/400ML;0EL;MERCASH SAR, S. L.;60;1,28
0EL;LECHE DE COCO 1/400ML;0EL;PONTEVICUS, S. L.;9;1,68
0EM;SALCHICHA ELPOZO PAVO 200GR;0EM;CARREFOUR VIGO;6;0,59
0ER;BIDON C/GRIFO ALIMENTARIO 10LT;0ER;FERRETERIA PLAZA, S. L.;2;9,19
0ER;BIDON C/GRIFO ALIMENTARIO 10LT;0ER;MAFERGA, S.A.;2;8,17
0ES;CASCO STYLE C/PANTALLA POLIBOC;0ES;FERRETERIA PLAZA, S. L.;2;17,62
0ET;LOOP PROTECTOR 1.6MM 500U;0ET;PASAXE Suministros Navales, S. L.;4;16,5
0EU;MUELA GRAPADORA "G" 1.50mm;0EU;A POUTADA, S. L.;1;16,05
0EU;MUELA GRAPADORA "G" 1.50mm;0EU;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;15;25,2
0EU;MUELA GRAPADORA "G" 1.50mm;0EU;ENTREPOT NAVAL, S. L.;3;25,2
0EV;MUELA GRAPADORA "C" 2.60mm;0EV;PASAXE Suministros Navales, S. L.;1;21
0EV;MUELA GRAPADORA "C" 2.60mm;0EV;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;1;25,2
0EW;PASTECA PESCANTE INOX C/ENGRAS;0EW;JUMAR COMERCIAL-JUAN M.VICENTE GLEZ;2;154
0EZ;HILO NYLON ROJO 2mm/100mt;0EZ;PAMPILLON CORDELERIAS, S.L.;1;9,5
0F0;BAYETA MICROFRIBRA Und.;0F0;ENTREPOT NAVAL, S. L.;3;0,53
0F5;TOMATE FRITO SOLIS FCO 1/360GR;0F5;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;90;0,52
0F7;TRAJE SUPERVIVENCIA RSF II;0F7;TRIDENTE, S. L.;20;104,85
00F;SOPA JARDINERA GALL.BCA. 71GRS;00F;PONTEVICUS, S. L.;27;0,48
0fB;QUESO RALLADO 4 QUESOS 1/200GR;0fB;MERCASH SAR, S. L.;190;1,59
0fB;QUESO RALLADO 4 QUESOS 1/200GR;0fB;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;29;1,69
0fB;QUESO RALLADO 4 QUESOS 1/200GR;0fB;PONTEVICUS, S. L.;30;1,36
0FC;CAJA CARTON;0FC;TEN HOME PLUS CORUXO S.L.;5;9,88
0FD;BIZCOCHO ROYAL 6/375gr;0FD;MERCASH SAR, S. L.;6;10,8
0FE;GALLETAS MARIA-ORO CUET.1/800;0FE;MERCASH SAR, S. L.;228;2,46
0FE;GALLETAS MARIA-ORO CUET.1/800;0FE;PONTEVICUS, S. L.;160;0,82
0FF;NATA LIQUIDA BRIK 1/LT;0FF;CASH GALICIA, S. L.;15;2,64
0FG;FRUTOS SECOS VARIADOS B/2KG;0FG;MERCASH SAR, S. L.;2;6,64
0FG;FRUTOS SECOS VARIADOS B/2KG;0FG;PONTEVICUS, S. L.;2;8,25
0FH;GALLETAS SALADAS 1,2KG;0FH;MERCASH SAR, S. L.;2;5,51
0FI;ANCHOAS ACEITE VEGETAL LATA;0FI;PONTEVICUS, S. L.;317;0,76
0FK;CAJA C.I. FIBRA-VIDRIO;0FK;VIGO-COAST, S.L.;1;127,5
0FL;BASE PIZZA 4/125gr CONGELADA;0FL;PONTEVICUS, S. L.;26;1,1
0FL;BASE PIZZA 4/125gr CONGELADA;0FL;ELMAR FROZEN FOOD SLU;10;0,97
0FM;ALBAHACA SALSERO;0FM;PONTEVICUS, S. L.;2;0,55
0FO;ALBARI¥O CONDES ALBAREI 1/75CL;0FO;MERCASH SAR, S. L.;14;9,42
0FP;VINO RIOJA ALCORTA CZA 6/75CL;0FP;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;4;20,1
0FQ;VINO RIOJA ALCORTA CZA 1/75CL;0FQ;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;6;3,35
0FR;ALBARI¥O CONDES ALBAREI 6/75CL;0FR;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;4;29,34
0FS;ALBARI¥O CONDES ALBAREI 1/75CL;0FS;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;8;4,89
0FT;GALLETAS SURTIDO GULLON 6/564G;0FT;PONTEVICUS, S. L.;2;13,2
0FV;MAHONESA KRAFT FRASCO 12/450M;0FV;CASH GALICIA, S. L.;32;11,76
0FV;MAHONESA KRAFT FRASCO 12/450M;0FV;MERCASH SAR, S. L.;37;15,61
0FV;MAHONESA KRAFT FRASCO 12/450M;0FV;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;67;11,98
0FW;FAJA PARA EL TRABAJO T/P;0FW;MERPIVI COMERCIAL  S.L.;5;25
0FX;FAJA PARA EL TRABAJO T/G;0FX;MERPIVI COMERCIAL  S.L.;5;25
0FX;FAJA PARA EL TRABAJO T/G;0FX;ENTREPOT NAVAL, S. L.;10;25
0FY;FAJA PARA EL TRABAJO T/XL;0FY;MERPIVI COMERCIAL  S.L.;3;25
0FZ;DISP.PAPEL ZIG-ZAG PLAST.;0FZ;MERCASH SAR, S. L.;1;13,95
0G5;KAS LIMON ZERO LATA 24X33CL.;0G5;MERCASH SAR, S. L.;2;6,96
0G5;KAS LIMON ZERO LATA 24X33CL.;0G5;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;5;6
0G6;KAS NARANJA ZERO LATA 24/33CL.;0G6;MERCASH SAR, S. L.;2;6,96
0G7;ACEITUNA MANZ.R/ANCHOA 6/500GR;0G7;PONTEVICUS, S. L.;32;8,22
0G7;ACEITUNA MANZ.R/ANCHOA 6/500GR;0G7;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;46;11,11
0G8;VINO FAUSTINO V ROSADO 6/75CL.;0G8;TOMAS FERNANDEZ,S.L.-DISTRIBUCIONES;4;21,73
0G9;ACEITUNA C/HUESO 12X150GR.1/2;0G9;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;2;7,8
0G9;ACEITUNA C/HUESO 12X150GR.1/2;0G9;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;5;6,3
00G;ZOCALIN PLOMADO VERDE 4.5/100m;00G;MIRALLES REPRESENTACIONES SL;10;43
00G;ZOCALIN PLOMADO VERDE 4.5/100m;00G;HAE SUNG ENTREPRISE CO.,LTD;30;34,85
0GA;LECHE SEMI PASCUAL 6XLT;0GA;MERCASH SAR, S. L.;10;5,1
0GA;LECHE SEMI PASCUAL 6XLT;0GA;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;49;4,52
0GF;CURRY Salseros;0GF;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;16;0,38
0GF;CURRY Salseros;0GF;DISTRIBUCIONES LORRI C.B.;12;0,53
0GF;CURRY Salseros;0GF;ENTREPOT NAVAL, S. L.;4;0,46
0GG;CHAMPU FRUCTIS 360ML;0GG;PONTEVICUS, S. L.;20;2,7
0GH;GEL LATOJA 550ML;0GH;MERCASH SAR, S. L.;3;1,59
0GK;PALETINA RADIADOR 30;0GK;CEPILLOS MARI¥O, S. L.;44;1,77
0GL;PINCEL REDONDO 22;0GL;CEPILLOS MARI¥O, S. L.;23;0,83
0GM;PINCEL REDONDO 24;0GM;CEPILLOS MARI¥O, S. L.;24;1,27
0GN;DESINFECTANTE SANITARIO 500ML;0GN;PONTEVICUS, S. L.;1;3,39
0GO;ACEITE AZOLLA ZS-46 1/20 LT;0GO;PETROCABLE S.L.;5;74,74
0GS;SOPA KNORR 12 VERDURAS SOBRE;0GS;PONTEVICUS, S. L.;370;0,5
0GV;PANTALON GUY COTTEN T/M;0GV;MERPIVI COMERCIAL  S.L.;2;46,92
0GW;ZANAHORIA RALLADA 12/500GRS;0GW;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;18;6,36
0GX;MALIBU CON SABOR COCO 70CL;0GX;PONTEVICUS, S. L.;12;8,28
0GY;LICOR DE HIERBAS 1/70CL;0GY;MERCASH SAR, S. L.;6;5,41
0GY;LICOR DE HIERBAS 1/70CL;0GY;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;1;4,69
0GY;LICOR DE HIERBAS 1/70CL;0GY;PONTEVICUS, S. L.;6;6,17
0H0;TENSOR TUBULAR GALV.C+H 7/8;0H0;EFECTOS NAVALES FERNANDEZ VILA, SL.;1;17,74
0H0;TENSOR TUBULAR GALV.C+H 7/8;0H0;TRIDENTE, S. L.;3;2,95
0H1;ALBONDIGAS LATA 415gr;0H1;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;60;0,97
0H2;MANZANILLA HORNIMANS C/25Sob;0H2;PONTEVICUS, S. L.;1;1,18
0H3;ZUMO GRANINI PI¥A 1.25LT;0H3;MERCASH SAR, S. L.;42;1,44
0H4;SALSA PESTO GALLO 1/190GRS;0H4;PONTEVICUS, S. L.;4;1,4
0H5;PAN RALLADO PAQUETE 1/250GRS;0H5;DISTRIBUCIONES LORRI C.B.;588;0,28
0H6;ROMERO BOTE 300GRS;0H6;DISTRIBUCIONES LORRI C.B.;2;3,2
0H7;JUGO BOVRIL 1/500gr;0H7;CASH GALICIA, S. L.;1;16,5
0H7;JUGO BOVRIL 1/500gr;0H7;MERCASH SAR, S. L.;8;13,42
0H8;ESENCIA ANIS 50/5ML;0H8;CASH GALICIA, S. L.;1;21
0H9;ESENCIA LIMON 50/5ML;0H9;CASH GALICIA, S. L.;1;21
00H;BOYA A-2 POLYFORM AMARILLA;00H;EURORED VIGO, S. L.;8;23,17
0HA;MEJILLONES NATUAL OL-120 C/50;0HA;SERVIAL,DISTRIBUCIONES EXCLUVAS SL;1;41,5
0HB;MOSTAZA ORIGINAL DIJON 12/215G;0HB;MERCASH SAR, S. L.;4;21,48
0HF;PILA ALKALINA LR14 BLISTER 2U;0HF;ORVILUX ELECTRICIDAD, S.L.;426;1,42
0HF;PILA ALKALINA LR14 BLISTER 2U;0HF;MERCADONA S.A.;50;1,57
0HG;PINTURA NEGRA MATE 4LT;0HG;INDUSTRIAS PROA S.A.;1;44,82
0HJ;COLADOR 1/2 BOLA INOX 14CM;0HJ;FERRETERIA PLAZA, S. L.;1;5,16
0HJ;COLADOR 1/2 BOLA INOX 14CM;0HJ;MAFERGA, S.A.;2;3,77
0HO;CAPAZO MARRON CUADRADO 40 LT;0HO;CANASTERIAS REUNIDAS, S.L.;5;29,3
0HP;ALMENDRA FILETEADA 1/125gr;0HP;PONTEVICUS, S. L.;14;1,65
0HQ;LOMO CERDO ADOBADO FRESCO;0HQ;MERCASH SAR, S. L.;1;5,3
0HQ;LOMO CERDO ADOBADO FRESCO;0HQ;DIMERCA-DISTRIB. MERA Y CARMES S.L.;3;3,69
0HS;PASTA LASA¥A GALLO 14/250g;0HS;PONTEVICUS, S. L.;2;14,98
0HT;BANDEJA HORNO 470x300x15x1.5;0HT;CALDERIA INDUSTRIAL Y NAVAL SL;2;39
0HW;LAVAVAJILLAS MAQUINAS 1/5LTS;0HW;PONTEVICUS, S. L.;5;4
0HX;SARTEN AL.INDUC. RESIST 26;0HX;MAFERGA, S.A.;2;6,95
0I0;BANDERA PORTUGAL C/ESC 100x60;0I0;VIGO-COAST, S.L.;1;6,38
0I1;CHAQUETON AGUA FINO ROJO T/58;0I1;ENTREPOT NAVAL, S. L.;3;14,55
0I2;CHAQUETON AGUA FINO ROJO T/60;0I2;ENTREPOT NAVAL, S. L.;2;14,55
0I3;CHAQUETON AGUA FINO ROJO T/62;0I3;ENTREPOT NAVAL, S. L.;4;14,55
0I4;CHAQUETON AGUA FINO AZUL T/58;0I4;ENTREPOT NAVAL, S. L.;9;12,99
