ARTICULO;DESCRIPCION;PROVEEDOR;NOMBRE;STOCK;IMPORTE
ba2;COCA-COLA BOTELLA 1/500cc;ba2;PONTEVICUS, S. L.;240;0,73
ba3;COCA-COLA ZERO PET. 1/500ML;ba3;CASH GALICIA, S. L.;48;0,74
ba3;COCA-COLA ZERO PET. 1/500ML;ba3;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;240;0,78
ba3;COCA-COLA ZERO PET. 1/500ML;ba3;PONTEVICUS, S. L.;24;0,78
ba3;COCA-COLA ZERO PET. 1/500ML;ba3;MERCADONA S.A.;40;0,81
BA5;TANZA 3.00 VERDE 1/500mt;BA5;VARIOS;2;0
BA7;HILO NYLON BLANCO 1.50mm/200mt;BA7;PAMPILLON CORDELERIAS, S.L.;10;7,1
ba8;DISOLVENTE 5LT;ba8;MERCHANT UNION S.L.;2;6,41
BA8;DISOLVENTE 5LT;BA8;FERRETERIA PLAZA, S. L.;2;15,21
ba8;DISOLVENTE 5LT;ba8;INDUSTRIAS PROA S.A.;3;16,77
ba8;DISOLVENTE 5LT;ba8;DITEGA-DIST.ALTA TEG. GALICIA S.L.;4;9,54
ba8;DISOLVENTE 5LT;ba8;VARIOS;1;0
BC1;BARNIZ TITAN BRILLANTE 1LT;BC1;FERRETERIA PLAZA, S. L.;2;11,76
BC2;CASCO SEGURIDAD AZUL;BC2;FERRETERIA PLAZA, S. L.;14;2,2
BC2;CASCO SEGURIDAD AZUL;BC2;MAFERGA, S.A.;4;2,3
BC3;TIJERA PODAR ECONOM. 95004-22;BC3;FERRETERIA PLAZA, S. L.;10;6,79
BC3;TIJERA PODAR ECONOM. 95004-22;BC3;MAFERGA, S.A.;9;4,9
BC4;TIJERA TANZA MOMOI;BC4;PASAXE Suministros Navales, S. L.;118;21
BC4;TIJERA TANZA MOMOI;BC4;ENTREPOT NAVAL, S. L.;4;21
BC5;CANDADO LATON A/L TIFON 50;BC5;FERRETERIA PLAZA, S. L.;8;7,93
BC5;CANDADO LATON A/L TIFON 50;BC5;MAFERGA, S.A.;10;8,11
BC6;PALETINA DOBLE ECONOMICA 12;BC6;FERRETERIA PLAZA, S. L.;2;0,44
BC6;PALETINA DOBLE ECONOMICA 12;BC6;MAFERGA, S.A.;6;0,33
BC7;VELCRO 2 CARAS BLANCO 20X25;BC7;FERRETERIA PLAZA, S. L.;4.5;2,34
BC8;VELCRO 2 CARAS NEGRO 20X25;BC8;FERRETERIA PLAZA, S. L.;10;2,48
BC8;VELCRO 2 CARAS NEGRO 20X25;BC8;MAFERGA, S.A.;2;8,86
BC9;FUENTE PLATO 33X23;BC9;MERCASH SAR, S. L.;18;7,23
BD1;TEFLON 12X12;BD1;FERRETERIA PLAZA, S. L.;10;0,36
BD1;TEFLON 12X12;BD1;MAFERGA, S.A.;21;0,76
BD4;LEVADURA MAURIPAN SECA 1/500gr;BD4;PANYPAST, SL;259;1,78
BD4;LEVADURA MAURIPAN SECA 1/500gr;BD4;PANADERIA CONFITERIA LAVANDEIRA S L;5;1,02
BD4;LEVADURA MAURIPAN SECA 1/500gr;BD4;ENTREPOT NAVAL, S. L.;3;1,78
bd6;GALLETAS MARBU DORADA 6/800gr;bd6;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;6;11,1
bd6;GALLETAS MARBU DORADA 6/800gr;bd6;VARIOS;40;9,54
BE1;NATA LIQUIDA BRIK 1/500ML;BE1;MERCASH SAR, S. L.;91;1,55
